Kingdom,Phylum,Class,Order,Family,Genus,Species
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,NA
Bacteria,Fusobacteria,Fusobacteria (class),Fusobacteriales,Fusobacteriaceae,Leptotrichia,NA
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,Sutterella parvirubra
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,NA
Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,NA,Eubacterium cylindroides
Bacteria,Spirochaetes,Spirochaetes (class),Spirochaetales,Spirochaetaceae,Treponema,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,NA,NA
Bacteria,Synergistetes,Synergistia,Synergistales,Dethiosulfovibrionaceae,TG5,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,Peptoniphilus,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus callidus
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,Tissierella,NA
Bacteria,Cyanobacteria,YS2,NA,NA,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium,Clostridium methylpentosum
Bacteria,Actinobacteria,Actinobacteria (class),Coriobacteriales,Coriobacteriaceae,Collinsella,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium,Clostridium leptum
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,NA
Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,NA,MLG480
Bacteria,Actinobacteria,Actinobacteria (class),Coriobacteriales,Coriobacteriaceae,Adlercreutzia,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus asini
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Catabacteriaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Fusobacteria,Fusobacteria (class),Fusobacteriales,Fusobacteriaceae,Leptotrichia,Leptotrichia trevisanii
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Corynebacteriaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus hyointestinalis
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Actinomycetaceae,Actinomyces,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,NA
Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eubacterium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Dehalobacteriaceae,Dehalobacterium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,NA,Eubacterium cylindroides
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Fusobacteria,Fusobacteria (class),Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
Bacteria,Spirochaetes,Spirochaetes (class),Spirochaetales,Spirochaetaceae,Treponema,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Microbacteriaceae,Microbacterium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,NA
Bacteria,Actinobacteria,Actinobacteria (class),Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Cyanobacteria,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Mitsuokella,Mitsuokella multacida
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,Akkermansia muciniphila
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus phocae
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,NA
Bacteria,Thermi,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sputigena
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Catabacteriaceae,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,NA
Bacteria,Tenericutes,Mollicutes,RF39,NA,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium difficile
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides barnesiae
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides dorei
Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,Proteus vulgaris
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,Anaerococcus,Anaerococcus prevotii
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eubacterium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudomonadaceae,Pseudomonas,Pseudomonas nitroreducens
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,NA
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Laribacter,Laribacter hongkongensis
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia producta
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,NA,NA
Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,NA
